timestamp,wind_speed,power,wind_direction,ambient_temperature,turbine_status,pitch_angle,relative_wind_direction
2025-01-01 00:00:00,15.68,1991.7,242.6,6.3,1,7.03,5.7
2025-01-01 01:00:00,5.6,0.0,192.4,2.4,1,-0.41,-4.7
2025-01-01 02:00:00,7.39,291.06,211.0,-0.7,1,-0.18,-3.0
2025-01-01 03:00:00,7.78,355.46,232.6,4.1,1,0.05,-7.9
2025-01-01 04:00:00,6.15,72.56,227.2,-4.9,1,0.62,9.6
2025-01-01 05:00:00,4.81,47.77,223.3,-1.6,1,-0.08,-2.1
2025-01-01 06:00:00,13.21,2000.91,227.1,-5.6,1,1.46,-9.5
2025-01-01 07:00:00,6.45,185.98,213.8,-7.2,1,-0.16,-4.7
2025-01-01 08:00:00,16.39,2040.0,240.0,-4.4,1,8.94,-0.6
2025-01-01 09:00:00,7.64,201.06,237.1,-3.6,1,0.21,-2.8
2025-01-01 10:00:00,5.57,112.55,224.5,-2.3,1,0.19,5.4
2025-01-01 11:00:00,2.16,18.92,253.6,-1.7,1,0.83,0.8
2025-01-01 12:00:00,20.44,1997.02,212.6,-1.7,1,16.02,1.5
2025-01-01 13:00:00,16.45,2024.85,223.9,0.2,1,8.8,2.1
2025-01-01 14:00:00,4.47,92.76,234.1,-1.1,1,-0.67,-10.5
2025-01-01 15:00:00,8.99,595.08,232.3,-3.1,1,-0.06,-0.4
2025-01-01 16:00:00,10.21,928.01,230.3,4.8,1,-0.39,-2.2
2025-01-01 17:00:00,10.1,998.17,208.3,3.8,1,-0.16,-4.9
2025-01-01 18:00:00,8.75,496.88,237.9,4.8,1,-0.1,-4.9
2025-01-01 19:00:00,6.26,87.51,253.3,4.8,1,0.37,6.2
2025-01-01 20:00:00,1.58,64.18,243.6,10.1,1,0.41,1.9
2025-01-01 21:00:00,4.26,105.43,240.0,5.2,1,-0.5,8.5
2025-01-01 22:00:00,16.06,1929.48,217.8,2.4,1,7.96,-1.7
2025-01-01 23:00:00,6.77,180.48,220.3,2.0,1,0.17,4.6
2025-01-02 00:00:00,8.39,401.21,231.7,3.2,1,0.24,-3.2
2025-01-02 01:00:00,9.28,744.13,216.5,-0.9,1,-0.35,3.9
2025-01-02 02:00:00,10.65,1165.69,215.3,-1.5,1,0.02,-4.6
2025-01-02 03:00:00,6.99,200.28,227.0,-0.7,1,-0.85,1.6
2025-01-02 04:00:00,3.31,0.0,232.9,-1.0,1,0.89,2.6
2025-01-02 05:00:00,9.64,843.16,246.0,-5.5,1,-0.22,3.4
2025-01-02 06:00:00,6.99,172.3,228.2,-4.4,1,1.65,-0.5
2025-01-02 07:00:00,12.09,2031.19,225.5,-4.8,1,0.36,4.7
2025-01-02 08:00:00,4.15,0.0,202.4,-4.7,1,-0.26,-4.5
2025-01-02 09:00:00,7.95,329.07,271.8,-2.6,1,-0.01,0.7
2025-01-02 10:00:00,8.41,427.63,269.2,-3.3,1,-0.84,1.1
2025-01-02 11:00:00,10.98,1432.32,232.6,-1.6,1,0.46,-1.2
2025-01-02 12:00:00,7.34,318.99,197.8,-2.2,1,0.38,-0.4
2025-01-02 13:00:00,5.95,59.82,264.5,-2.6,1,-0.05,14.2
2025-01-02 14:00:00,5.49,47.34,238.4,3.3,1,0.14,4.3
2025-01-02 15:00:00,4.95,0.0,204.8,2.6,1,0.01,1.2
2025-01-02 16:00:00,3.74,0.0,235.7,-1.1,1,0.65,-9.7
2025-01-02 17:00:00,7.0,225.12,229.6,5.4,1,-0.36,0.4
2025-01-02 18:00:00,4.8,55.84,261.0,9.2,1,0.64,1.8
2025-01-02 19:00:00,2.96,0.0,229.8,5.1,1,0.77,-4.6
2025-01-02 20:00:00,4.41,90.17,199.1,5.6,1,1.21,-4.6
2025-01-02 21:00:00,5.71,39.75,232.4,6.8,1,-0.53,-3.0
2025-01-02 22:00:00,1.95,0.0,232.8,4.6,1,0.07,-5.6
2025-01-02 23:00:00,10.2,971.82,237.9,5.8,1,0.48,5.2
2025-01-03 00:00:00,10.6,1132.6,245.8,0.1,1,0.31,0.4
2025-01-03 01:00:00,5.46,185.09,200.3,1.5,1,-0.67,2.5
2025-01-03 02:00:00,8.56,487.23,236.3,1.3,1,0.39,-8.3
2025-01-03 03:00:00,12.23,1992.68,229.3,-1.4,1,0.94,0.8
2025-01-03 04:00:00,2.01,0.0,217.4,-2.7,1,0.66,-4.2
2025-01-03 05:00:00,5.88,95.82,223.1,-3.1,1,-0.12,-4.7
2025-01-03 06:00:00,9.51,723.93,259.7,-7.1,1,-0.83,-2.7
2025-01-03 07:00:00,3.13,0.0,222.0,-4.0,1,-0.29,-1.8
2025-01-03 08:00:00,10.47,1246.22,225.4,-7.1,1,0.12,-0.1
2025-01-03 09:00:00,3.18,23.75,225.4,-5.1,1,-0.33,-4.3
2025-01-03 10:00:00,10.84,1289.95,246.0,-2.8,1,0.21,1.2
2025-01-03 11:00:00,2.82,0.0,214.2,-5.6,1,0.14,4.4
2025-01-03 12:00:00,1.98,0.0,244.0,1.4,1,-0.38,-5.9
2025-01-03 13:00:00,3.46,63.99,239.9,-1.2,1,-0.55,-7.2
2025-01-03 14:00:00,8.32,473.89,228.6,-1.9,1,-0.44,1.4
2025-01-03 15:00:00,11.6,1737.9,224.7,2.3,1,-0.28,2.7
2025-01-03 16:00:00,12.9,1970.78,252.9,4.0,1,0.77,-5.1
2025-01-03 17:00:00,13.9,1966.63,239.9,2.7,1,3.16,1.7
2025-01-03 18:00:00,5.0,12.52,206.1,1.4,1,-0.66,-6.4
2025-01-03 19:00:00,7.3,225.68,273.3,3.7,1,0.46,-0.7
2025-01-03 20:00:00,5.16,72.0,241.3,2.7,1,-0.19,-0.5
2025-01-03 21:00:00,13.93,2037.55,250.6,3.2,1,2.32,-2.4
2025-01-03 22:00:00,10.88,1370.86,236.1,3.3,1,0.04,-6.8
2025-01-03 23:00:00,3.64,17.71,248.2,0.6,1,0.19,-5.7
2025-01-04 00:00:00,8.6,604.09,249.0,5.1,1,0.56,-0.1
2025-01-04 01:00:00,5.74,0.0,229.8,4.2,1,-0.14,-4.0
2025-01-04 02:00:00,9.01,593.75,235.3,0.2,1,0.44,1.0
2025-01-04 03:00:00,14.53,1928.92,241.9,-1.7,1,5.51,5.1
2025-01-04 04:00:00,9.03,590.79,243.1,-2.1,1,0.23,-4.9
2025-01-04 05:00:00,7.31,260.57,226.9,-2.7,1,0.84,-11.5
2025-01-04 06:00:00,5.84,52.16,229.0,-6.6,1,0.27,5.3
2025-01-04 07:00:00,4.46,0.0,224.4,-5.1,1,0.4,-14.9
2025-01-04 08:00:00,9.34,598.92,223.3,-1.1,1,0.05,2.8
2025-01-04 09:00:00,5.15,0.0,261.2,-4.6,1,0.18,0.4
2025-01-04 10:00:00,2.85,0.0,220.4,-3.3,1,-0.27,-5.2
2025-01-04 11:00:00,12.09,1960.36,256.1,-5.7,1,-0.74,1.9
2025-01-04 12:00:00,2.45,0.0,230.5,0.3,1,0.67,2.5
2025-01-04 13:00:00,8.27,419.62,225.8,-0.5,1,0.14,-7.4
2025-01-04 14:00:00,10.8,1405.6,247.9,0.3,1,1.17,1.5
2025-01-04 15:00:00,12.62,1996.04,210.1,0.3,1,0.71,1.1
2025-01-04 16:00:00,2.31,0.0,250.1,0.2,1,-0.42,6.5
2025-01-04 17:00:00,14.15,2040.0,233.1,5.9,1,5.02,-2.9
2025-01-04 18:00:00,9.93,921.75,214.5,7.0,1,-0.02,0.5
2025-01-04 19:00:00,9.1,698.66,234.5,6.0,1,0.18,-1.8
2025-01-04 20:00:00,3.92,86.16,214.8,4.5,1,-0.78,-4.9
2025-01-04 21:00:00,3.57,0.0,216.2,3.6,1,0.33,1.5
2025-01-04 22:00:00,9.13,671.44,256.0,4.8,1,0.31,2.4
2025-01-04 23:00:00,8.18,358.44,248.3,3.7,1,0.22,4.6
2025-01-05 00:00:00,6.02,52.08,236.4,2.0,1,0.01,-10.0
2025-01-05 01:00:00,4.32,0.0,248.7,2.6,1,0.45,8.8
2025-01-05 02:00:00,4.12,0.0,219.3,-2.1,1,-0.42,-0.3
2025-01-05 03:00:00,6.15,82.47,232.5,-1.8,1,-0.62,7.6
2025-01-05 04:00:00,7.08,123.95,202.7,-4.1,1,0.54,-5.7
2025-01-05 05:00:00,2.62,0.0,212.5,-2.4,1,-0.14,0.9
2025-01-05 06:00:00,5.17,143.17,240.7,-6.1,1,0.4,2.9
2025-01-05 07:00:00,3.74,0.0,242.0,-6.1,1,1.23,-1.9
2025-01-05 08:00:00,12.19,1993.1,225.1,-0.7,1,0.07,3.0
2025-01-05 09:00:00,4.24,39.14,247.6,-4.2,1,-0.48,-1.6
2025-01-05 10:00:00,8.95,496.78,217.4,-1.9,1,0.59,-13.5
2025-01-05 11:00:00,7.32,49.88,232.4,0.2,1,-0.13,-3.8
